Title,Year,Genre,Director,Cast,Languages,Plot
Home Alone 3,1997.0,Children's|Comedy,Raja Gosnell,"Alex D. Linz,Olek Krupa,Rya Kihlstedt,Lenny Von Dohlen,David Thornton","Polski,English","9-year-old Alex Pruitt is home alone with the chicken pox. Turns out, due to a mix-up among nefarious spies, Alex was given a toy car concealing a top-secret microchip. Now Alex must fend off the spies as they try to break into his house to get it back."
"Net, The",1995.0,Sci-Fi|Thriller,Irwin Winkler,"Sandra Bullock,Jeremy Northam,Dennis Miller,Wendy Gazelle,Ken Howard","English,Español","Angela Bennett is a freelance software engineer who lives in a world of computer technology. When a cyber friend asks Bennett to debug a new game, she inadvertently becomes involved in a conspiracy that will soon turn her life upside down and make her the target of an assassination."
Rosetta,1999.0,Drama,"Luc Dardenne,Jean-Pierre Dardenne","Émilie Dequenne,Olivier Gourmet,Fabrizio Rongione,Anne Yernaux,Bernard Marbaix",Français,"Young, impulsive Rosetta lives a hard and stressful life as she struggles to support herself and her alcoholic mother. Refusing all charity, she is desperate to maintain a dignified job."
"Wonderful, Horrible Life of Leni Riefenstahl, The (Die Macht der Bilder)",1993.0,Documentary,Ray Müller,"Leni Riefenstahl,Walter Frentz,Horst Kettner,Ray Müller,Luis Trenker",Deutsch,"This documentary recounts the life and work of one of most famous, and yet reviled, German film directors in history, Leni Riefenstahl. The film recounts the rise of her career from a dancer, to a movie actor to the most important film director in Nazi Germany who directed such famous propaganda films as Triumph of the Will and Olympiad. The film also explores her later activities after Nazi Germany's defeat in 1945 and her disgrace for being so associated with it which includes her amazingly active life over the age of 90."
Dancemaker,1998.0,Documentary,Matthew Diamond,,,"A look at Paul Taylor and his dance company over several months in 1997. Preparation of Taylor's piece, ""Piazzolla Caldera,"" from conception and rehearsals to opening night at City Center, frames the film. The troupe's trip to India falls in the middle. Included are black and white footage of rehearsals, and, in color, interviews with Taylor, his dancers, dance critics and scholars, and those who manage the business side. There is also footage of a younger Taylor dancing and film of the troupe performing a dozen Taylor pieces. His genius, his roots, his method of working with dancers, and his sometimes difficult nature draw the attention of those who comment."
"Waterboy, The",1998.0,Comedy,Frank Coraci,"Adam Sandler,Kathy Bates,Henry Winkler,Fairuza Balk,Jerry Reed",English,Bobby Boucher is a water boy for a struggling college football team. The coach discovers Boucher's hidden rage makes him a tackling machine whose bone-crushing power might vault his team into the playoffs.
Holy Man,1998.0,Comedy,Stephen Herek,"Eddie Murphy,Jeff Goldblum,Kelly Preston,Robert Loggia,Morgan Fairchild",English,"In a world governed by commerce, Ricky and Kate, dedicated employees, find their lives forever changed when they encounter the enigmatic stranger G. As they navigate the realm of commerce, their paths intertwine in a surreal dance of love, loss, and redemption. G's presence, amplified through the pervasive influence of globalized television, casts a spell that reverberates beyond Ricky and Kate, impacting the lives of those who bear witness to their intertwined destinies."
Pleasantville,1998.0,Comedy,Gary Ross,"Tobey Maguire,Reese Witherspoon,William H. Macy,Joan Allen,Jeff Daniels",English,"Geeky teenager David and his popular twin sister, Jennifer, get sucked into the black-and-white world of a 1950s TV sitcom called ""Pleasantville,"" and find a world where everything is peachy keen all the time. But when Jennifer's modern attitude disrupts Pleasantville's peaceful but boring routine, she literally brings color into its life."
"Theory of Flight, The",1999.0,Comedy|Drama|Romance,Paul Greengrass,"Helena Bonham Carter,Kenneth Branagh,Gemma Jones,Holly Aird,Ray Stevenson",English,"A dreamer who aspires to human flight is assigned public service after one of his attempts off a public building. This leads him to meeting a young woman, who is dying of motor neuron disease. The strong-willed woman admits her wish to be de-flowered before her death. The man, struggling to maintain his relationship with his girl friend, declines but offers to help pay for a gigolo to do the deed. The following events play off the inherent comedy and drama of the circumstances."
Macao,1952.0,Adventure,Josef von Sternberg,"Robert Mitchum,Jane Russell,William Bendix,Thomas Gomez,Gloria Grahame","English,广州话 / 廣州話,日本語",A man on the run in the Far East is mistaken for an undercover cop.
"Towering Inferno, The",1974.0,Action|Drama,John Guillermin,"Steve McQueen,Paul Newman,William Holden,Faye Dunaway,Fred Astaire",English,"At the opening party of a colossal—but poorly constructed—skyscraper, a massive fire breaks out, threatening to destroy the tower and everyone in it."
Full Tilt Boogie,1998.0,Documentary,Sarah Kelly,"Rick Stribling,Kevin Bondy,Amy Minda Cohen,Elizabeth Avellan,Dieter Busch",English,A documentary about the production of From Dusk Till Dawn (1996) and the people who made it.
My Blue Heaven,1990.0,Comedy,Herbert Ross,"Steve Martin,Rick Moranis,Joan Cusack,Melanie Mayron,Bill Irwin",English,"FBI agent Barney Coopersmith is assigned to protect former Mafia figure turned informant Vincent Antonelli. In the witness protection program one is supposed to keep a low profile, but that is something that Antonelli has trouble doing. Coopersmith certainly has his hands full keeping Antonelli away from the Mafia hitmen who want to stop him testifying, not to mention the nightclubs..."
Things Change,1988.0,Comedy,David Mamet,"Don Ameche,Joe Mantegna,Robert Prosky,J.J. Johnston,Ricky Jay","Français,Italiano,English","Jerry, a misfit Mafia henchman, is assigned the low-level job of keeping an eye on Gino, a shoe repairman fingered by the Mob to confess to a murder he didn't commit. But Gino's mistaken for a Mafia boss, and the two are suddenly catapulted to the highest levels of mobster status. Only friendship will see them through this dangerous adventure alive!"
3 Strikes,2000.0,Comedy,DJ Pooh,"Brian Hooks,N'Bushe Wright,Faizon Love,E-40,Starletta DuPois",English,"Brian Hooks plays a character who is just released from jail. And the state adopts a ""3 strikes"" rule for felons that involves serious penalties. Hooks has 2 strikes, and wants to change his life for the better. When a friend picks him up, they are pulled over, and his friend shoots at police officers, and Hooks escapes. Now Hooks, a wanted man, must clear his name of having nothing to do with the shooting."
Deep Blue Sea,1999.0,Action|Sci-Fi|Thriller,Renny Harlin,"Thomas Jane,Saffron Burrows,LL Cool J,Michael Rapaport,Samuel L. Jackson",English,"Researchers on the undersea lab Aquatica have genetically altered the brains of captive sharks to develop a cure for Alzheimer's disease. But there's an unexpected side effect: the sharks got smarter, faster, and more dangerous. After a big storm damages their remote research facility, they must fight for their lives."
"Ghost of Frankenstein, The",1942.0,Horror,Erle C. Kenton,"Cedric Hardwicke,Ralph Bellamy,Lionel Atwill,Bela Lugosi,Evelyn Ankers",English,"Ygor discovers Frankenstein's creation is still alive and brings him to the doctor's son, Ludwig, for help. Obsessed with restoring the monster to his full potential, Ludwig is unaware that someone has more devious plans for the creature."
Soldier,1998.0,Action|Adventure|Sci-Fi|Thriller|War,Paul W. S. Anderson,"Kurt Russell,Jason Scott Lee,Jason Isaacs,Connie Nielsen,Sean Pertwee",English,"Sergeant Todd is a veteran soldier for an elite group of the armed forces. After being defeated by a new breed of genetically engineered soldiers, he is dumped on a waste planet and left for dead. He soon interacts with a group of crash survivors who lead out a peaceful existence. The peace is broken as the new soldiers land on the planet to eliminate the colony, which Sergeant Todd must defend."
"Saint of Fort Washington, The",1993.0,Drama,Tim Hunter,"Danny Glover,Matt Dillon,Rick Aviles,Nina Siemaszko,Ving Rhames",English,"Matthew, a young schizophrenic, finds himself out on the street when a slumlord tears down his apartment building. Soon, he finds himself in even more dire straits, when he is threatened by Little Leroy, a thug who is one of the tough denizens of the Fort Washington Shelter for Men. He reaches out to Jerry, a streetwise combat veteran, who takes Matthew under his wing as a son. The relationship between these two men grows as they attempt to conquer the numbing isolation of homelessness."
Barenaked in America,1999.0,Documentary,Jason Priestley,"Steven Page,Tyler Stewart,Jim Creeggan,Kevin Hearn,Chris Brown",,"A rockumentary about the Canadian rock band Barenaked Ladies's life, in a nutshell.  It follows the band on its Stunt Tour."
"Assignment, The",1997.0,Thriller,Christian Duguay,"Aidan Quinn,Donald Sutherland,Ben Kingsley,Claudia Ferri,Céline Bonnier",English,"Jack Shaw has experienced the terror first-hand. He's a top CIA agent who's tracked international killer-for-hire Carlos ""The Jackal"" Sanchez for over twenty years and barely survived Carlos' devastating bombing of a Parisian cafe. Now, he finally gets a break when he discovers Carlos' dead ringer: American naval officer and dedicated family man Annibal Ramirez."
Chain of Fools,2001.0,Comedy|Crime,"Pontus Löwenhielm,Patrick von Krusenstjerna","Steve Zahn,Salma Hayek Pinault,Elijah Wood,Jeff Goldblum,David Cross",English,An avid detective is assigned to investigate the heist of a batch of precious coins that end up in the hands of a suicidal barber.
Swingers,1996.0,Comedy|Drama,Doug Liman,"Jon Favreau,Vince Vaughn,Ron Livingston,Patrick Van Horn,Alex Désert",English,"After 6 years together, Mike's girlfriend leaves him, so he travels to LA to be a star. Six months on, he's still not doing very well— so a few of his friends try to reconnect him to the social scene and hopefully help him forget his failed relationship."
Blue Hawaii,1961.0,Comedy|Musical,Norman Taurog,"Elvis Presley,Joan Blackman,Angela Lansbury,Nancy Walters,Roland Winters","English,Français,Magyar","Chad Gates has just been discharged from the Army, and is happy to be back in Hawaii with his surf-board, his beach buddies and his girlfriend."
Mute Witness,1995.0,Thriller,Anthony Waller,"Marina Zudina,Fay Ripley,Evan Richards,Igor Volkov,Sergei Karlenkov","Pусский,English","Billy is mute, but it hasn't kept her from becoming a successful makeup artist. While in Russia, working on a film directed by her sister's boyfriend, Andy, Billy finds herself trapped in the studio one night and is horrified to see a snuff film being made. Billy escapes and, with the help of her sister, Kate, alerts authorities about what she saw. Unfortunately, in doing so, she makes an enemy of the Russian mafia, who funded the snuff film."
